0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:56 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:56 +0700] "GET /QLXB/danhsachnhanvien.htm?page=4 HTTP/1.1" 200 35247
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:56 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:56 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:57 +0700] "GET /QLXB/danhsachnhanvien.htm?page=5 HTTP/1.1" 200 18429
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:57 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:57 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:59 +0700] "GET /QLXB/dstuyenduong.htm HTTP/1.1" 200 17396
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:59 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:53:59 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:57:31 +0700] "GET /QLXB/dstuyenduong.htm HTTP/1.1" 200 18210
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:57:31 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:57:31 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:57:42 +0700] "GET /QLXB/dstuyenduong.htm HTTP/1.1" 200 18196
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:57:42 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:57:42 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:02:57:53 +0700] "GET /QLXB/dsxetrongtuyen/18.htm HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:04:07 +0700] "GET /QLXB/dstuyenduong.htm HTTP/1.1" 200 18196
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:04:07 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:04:07 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:04:09 +0700] "GET /QLXB/dsxetrongtuyen/18.htm HTTP/1.1" 500 5167
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:04:38 +0700] "GET /QLXB/dsxetrongtuyen/18.htm HTTP/1.1" 500 5168
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:04:40 +0700] "GET /QLXB/dstuyenduong.htm HTTP/1.1" 200 18196
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:04:40 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:04:40 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:04:41 +0700] "GET /QLXB/dsxetrongtuyen/18.htm HTTP/1.1" 500 5168
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:04:59 +0700] "GET /QLXB/dstuyenduong.htm HTTP/1.1" 200 18196
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:04:59 +0700] "GET /QLXB/assets/css/trangchu.css HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:04:59 +0700] "GET /QLXB/assets/css/all.css HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:05:00 +0700] "GET /QLXB/dsxetrongtuyen/18.htm HTTP/1.1" 500 5164
0:0:0:0:0:0:0:1 - - [14/Jun/2023:03:05:07 +0700] "GET /QLXB/dstuyenduong.htm HTTP/1.1" 200 18196
